dataset,attack,layer,acc_clean,acc_adv,acc_drop,evasion,f1_before,f1_after,tpr_before,tpr_after,fpr_before,fpr_after,auc_before,auc_after,ap_before,ap_after,f1_drop,auc_drop,precision_drop,recall_drop,drop_severity,l2_mean,l2_max,linf_mean,linf_max,pct_unchanged,n_truly_fooled,n_pred_changed,pct_pred_changed,pct_truly_fooled
cicids2017,MI-FGSM ε=0.30,detection,0.9997,0.6935,0.3062,0.7371,0.9997,0.6986,0.9993,0.2622,0.0,0.0327,1.0,0.97,1.0,0.3669,0.3011,0.03,0.2932,0.3062,CRITICAL,2.555255651473999,2.6832809448242188,0.29999998211860657,0.3000001907348633,0.0,8698,8703,0.3064,0.3062
cicids2017,MI-FGSM ε=0.30,siem,0.9558,0.7783,0.1775,0.3667,0.9427,0.7547,0.8987,0.532,0.0053,0.031,1.0,0.9879,1.0,0.6744,0.188,0.0121,0.1801,0.1775,CRITICAL,2.554452896118164,2.6824374198913574,0.2999057173728943,0.29990601539611816,0.0,5384,5981,0.2105,0.1895
cicids2017,MI-FGSM ε=0.30,soar,0.9844,0.847,0.1374,0.3321,0.9842,0.8234,0.9554,0.6233,0.0034,0.0383,1.0,0.9712,1.0,0.716,0.1608,0.0288,0.1254,0.1374,CRITICAL,2.5529491901397705,2.6808583736419678,0.2997291684150696,0.2997293472290039,0.0,4092,4281,0.1507,0.144
cicids2017,C&W L2  c=0.5,ingestion,0.9557,0.7133,0.2424,0.5137,0.9424,0.6804,0.8983,0.3846,0.0053,0.0443,1.0,0.96,1.0,0.4374,0.262,0.04,0.2932,0.2424,CRITICAL,4.400466442108154,4.469569206237793,0.49971330165863037,0.4997138977050781,0.0,7126,7689,0.2707,0.2509
cicids2017,C&W L2  c=0.5,triage,0.9999,0.7621,0.2378,0.4167,0.9999,0.7427,0.9998,0.5831,0.0,0.081,1.0,0.9198,1.0,0.6002,0.2572,0.0802,0.2668,0.2378,CRITICAL,4.397288799285889,4.466341972351074,0.49935245513916016,0.4993528425693512,0.0,6757,6757,0.2379,0.2379
cicids2017,C&W L2  c=0.5,detection,0.9997,0.6852,0.3145,0.7469,0.9997,0.6916,0.9993,0.2524,0.0,0.0343,1.0,0.9595,1.0,0.3352,0.3081,0.0405,0.2958,0.3145,CRITICAL,4.4029927253723145,4.472133636474609,0.5,0.5000004768371582,0.0,8933,8939,0.3147,0.3145
cicids2017,C&W L2  c=0.5,siem,0.9558,0.71,0.2458,0.5249,0.9427,0.6776,0.8987,0.3738,0.0053,0.0438,1.0,0.9559,1.0,0.4312,0.2651,0.0441,0.298,0.2458,CRITICAL,4.401607990264893,4.470728874206543,0.49984273314476013,0.4998435974121094,0.0,7183,7716,0.2716,0.2529
cicids2017,C&W L2  c=0.5,soar,0.9844,0.7519,0.2325,0.4727,0.9842,0.7136,0.9554,0.4827,0.0034,0.0789,1.0,0.917,1.0,0.5367,0.2706,0.083,0.2703,0.2325,CRITICAL,4.3990159034729,4.468094825744629,0.4995484948158264,0.49954986572265625,0.0,6899,7192,0.2532,0.2429
cicids2017,C&W L2  c=1.0,ingestion,0.9557,0.7133,0.2424,0.5137,0.9424,0.6804,0.8983,0.3846,0.0053,0.0443,1.0,0.96,1.0,0.4374,0.262,0.04,0.2932,0.2424,CRITICAL,4.403669357299805,4.469569206237793,0.49971330165863037,0.4997138977050781,0.0,7126,7689,0.2707,0.2509
cicids2017,C&W L2  c=1.0,triage,0.9999,0.7621,0.2378,0.4167,0.9999,0.7427,0.9998,0.5831,0.0,0.081,1.0,0.9198,1.0,0.6002,0.2572,0.0802,0.2668,0.2378,CRITICAL,4.400489330291748,4.466341972351074,0.49935245513916016,0.4993528425693512,0.0,6757,6757,0.2379,0.2379
